name,id,messages,thanks,score
Bri essential donkey,6.72E+17,2185,1,2190
pro coat crowd,1.88E+17,1900,11,1955
OGS stretch sentence,7.32E+17,1416,4,1436
Sun shelter nothing,2.17E+17,1022,3,1037
mum low attempt,7.72E+17,717,2,727
Miv goes herd,1.13E+17,505,1,510
Cli growth bush,3.30E+17,484,4,504
à¼º end sudden,3.71E+17,500,0,500
Not planet thy,1.40E+17,442,1,447
Cla frighten night,7.10E+17,401,1,406
Tan gift apple,3.02E+17,397,0,397
VED riding five,4.18E+17,272,1,277
nia fifty without,3.47E+17,230,0,230
Yod student row,8.86E+17,201,0,201
Tru doctor porch,3.05E+17,190,0,190
The married rule,8.37E+17,153,0,153
Bla cage coffee,1.28E+17,109,0,109
kil upper ocean,2.26E+17,97,0,97
Fla ball basic,2.91E+17,93,0,93
Nat although by,8.06E+17,84,0,84
Lau burn return,1.89E+17,82,0,82
PRâ threw cannot,8.95E+17,81,0,81
Jar thread plates,1.16E+17,68,0,68
agg kind plus,3.87E+17,68,0,68
Del usually milk,8.75E+17,64,0,64
Mar yard fill,3.17E+17,59,1,64
Ema end physical,4.31E+17,63,0,63
Pic hurry observe,1.94E+17,57,0,57
CAR tightly among,6.85E+17,56,0,56
das steel hill,3.66E+17,54,0,54
Pad pay composed,8.55E+17,49,1,54
cma exclaimed colony,2.63E+17,50,0,50
Fis situation arrange,4.13E+17,50,0,50
Sau powder ride,4.02E+17,49,0,49
Gav position anyone,1.32E+17,48,0,48
Rae wrote plenty,4.55E+17,48,0,48
kp# largest afraid,2.87E+17,40,1,45
Ref warn per,6.06E+17,42,0,42
Å¿â order recent,3.47E+17,41,0,41
mr# wish satisfied,6.87E+17,41,0,41
Cob outer becoming,1.57E+17,39,0,39
Bra activity string,2.27E+17,34,1,39
Sla frighten favorite,2.07E+17,36,0,36
lou sick slipped,4.22E+17,36,0,36
Gin safe hurt,5.90E+17,35,0,35
BAH found fur,3.13E+17,30,1,35
Gat struck wash,7.91E+17,34,0,34
Ste which load,3.05E+17,33,0,33
jad stairs pencil,8.52E+17,33,0,33
dra needle married,9.07E+17,33,0,33
DOP easily coming,4.77E+17,30,0,30
Und origin younger,3.08E+17,29,0,29
PER cent mixture,2.14E+17,28,0,28
Dea today over,3.61E+17,27,0,27
fin rise copy,6.96E+17,17,2,27
Cal experience vegetable,2.35E+17,26,0,26
her glad widely,8.17E+17,26,0,26
Cla gain different,8.12E+17,1,5,26
Del pencil alone,5.06E+17,25,0,25
Tuf talk broken,7.60E+17,24,0,24
OC  jungle common,4.01E+17,22,0,22
Rya principle city,7.97E+17,22,0,22
Val work express,1.08E+17,21,0,21
mau toy pocket,3.45E+17,21,0,21
AK  curve top,8.02E+17,21,0,21
Vej nodded eaten,8.30E+17,21,0,21
Dar tower teach,8.82E+17,20,0,20
Hos curve spin,9.08E+17,20,0,20
tyl shop minerals,6.93E+17,18,0,18
Not these score,1.32E+17,8,2,18
DrZ rise instance,3.43E+17,17,0,17
Tay poem while,5.33E+17,17,0,17
Raz former soap,6.73E+17,17,0,17
Del include produce,8.17E+17,17,0,17
Zec weigh several,3.82E+17,16,0,16
Skr lack flag,4.14E+17,16,0,16
unc group monkey,5.55E+17,16,0,16
Coo think stand,6.18E+17,16,0,16
roc seven driver,8.52E+17,16,0,16
ioe flat actual,8.70E+17,16,0,16
Mis quickly gentle,4.05E+17,15,0,15
DIC whether sand,4.64E+17,14,0,14
dee situation taken,6.99E+17,14,0,14
ð‘ company more,8.57E+17,14,0,14
Joh farm card,8.96E+17,14,0,14
laz danger many,5.88E+17,13,0,13
tom clean planet,6.70E+17,13,0,13
Kam uncle minerals,7.31E+17,13,0,13
! á greatest excellent,7.97E+17,13,0,13
Fra art stood,8.28E+17,13,0,13
Seb remarkable welcome,2.17E+17,12,0,12
Ooc belt these,2.87E+17,12,0,12
ana cent made,5.73E+17,12,0,12
wan slip make,2.29E+17,11,0,11
qyi space unit,4.37E+17,11,0,11
Dru taken attention,4.73E+17,11,0,11
